,pump_bgs,bg,carb,insulin,iob,cir,isf,sbr,temp_basal,relative_temp_basal_insulin
415,-23.591031591842636,118.68918584710894,0.0,0.0,0.5893138608154531,20.0,150.0,0.3,0.3,0.0
420,-23.68330403694688,118.88742086982555,0.0,0.0,0.5908792602193143,20.0,150.0,0.3,0.3,0.0
425,-23.7696201212284,119.07010298152667,0.0,0.0,0.5923249890896869,20.0,150.0,0.3,0.3,0.0
430,-23.850355296280156,119.23846834774338,0.0,0.0,0.5936603220318204,20.0,150.0,0.3,0.3,0.0
435,-23.92586218677721,119.39365366548392,0.0,0.0,0.5948938052266135,20.0,150.0,0.3,0.3,0.0
440,-23.99647189856529,119.53670425869358,0.0,0.0,0.5960333143853138,20.0,150.0,0.3,0.3,0.0
445,-24.062495259648358,119.66858150802172,0.0,0.0,0.5970861080364556,20.0,150.0,0.3,0.3,0.0
450,-24.124223996695434,119.79016967013926,0.0,0.0,0.5980588765252584,20.0,150.0,0.3,0.3,0.0
455,-24.181931849681263,119.90228213722754,0.0,0.0,0.5989577870744247,20.0,150.0,0.3,0.3,0.0
460,-24.23587562725345,120.00566718302908,0.0,0.0,0.5997885252265729,20.0,150.0,0.3,0.3,0.0
465,-24.28629620538598,120.10101323797413,0.0,0.0,0.6005563329622463,20.0,150.0,0.3,0.3,0.0
470,-24.333419471834787,120.18895373234837,0.0,0.0,0.6012660437632904,20.0,150.0,0.3,0.3,0.0
475,-24.377457218858694,120.27007154321521,0.0,0.0,0.6019221148692806,20.0,150.0,0.3,0.3,0.0
480,,120.38491076869863,0.0,0.0,0.5986527101984396,20.0,150.0,0.3,0.3,0.0
485,,120.49018845843499,0.0,0.0,0.59946984716356,20.0,150.0,0.3,0.3,0.0
490,,120.58660358518178,,,0.6002279003754166,,,,,
