,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
135,58.714323593071555,69.72275572967233,69.72275572967233,0.0,-0.024999999999999998,1.114947975640654,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
140,54.011733945759545,65.35487395462808,65.35487395462808,0.0,-0.024999999999999998,1.0621201467387043,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
145,49.44001602183806,61.167031877679996,61.167031877679996,0.0,-0.024999999999999998,1.0108459481106264,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
150,45.0081412495976,57.1809979077545,57.1809979077545,0.0,-0.024999999999999998,0.9611997375771366,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
155,40.722764894180386,53.413935508478886,53.413935508478886,0.0,-0.024999999999999998,0.9132349781262724,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
160,36.588548305408096,49.87900546028879,49.87900546028879,0.0,-0.024999999999999998,0.8669870486434754,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
165,32.60844313378607,46.58590016543287,46.58590016543287,0.0,-0.024999999999999998,0.8224757417998072,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
170,28.783941700541078,43.54131716773035,43.54131716773035,0.0,-0.024999999999999998,0.77970748101253,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
175,25.115297261801686,40.74937832713191,40.74937832713191,0.0,-0.024999999999999998,0.7386772852930055,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
180,21.60171750805054,38.212000430787604,38.212000430787604,0.0,-0.024999999999999998,0.6993705079893462,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
185,18.24153428289401,35.92922243011888,35.92922243011888,0.0,-0.024999999999999998,0.6617643728886731,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
190,15.032352185619487,33.89949396071457,33.89949396071457,0.0,-0.024999999999999998,0.6258293288416392,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
195,11.971178436036553,32.11992932279129,32.11992932279129,0.0,-0.024999999999999998,0.591530241987913,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
200,9.054536124204674,30.586530669117554,30.586530669117554,0.0,-0.024999999999999998,0.5588274427753093,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
205,6.278562738708757,29.294383759896466,29.294383759896466,0.0,-0.024999999999999998,0.5276776432588822,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
210,3.6390956623281454,28.23782929578705,28.23782929578705,0.0,-0.024999999999999998,0.49803473862282766,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
215,1.1317461407424219,27.410612527123977,27.410612527123977,0.0,-0.024999999999999998,0.46985050547233687,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
220,-1.2480369339296544,26.806013555954806,26.806013555954806,0.0,-0.024999999999999998,0.443075208180827,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
