,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
270,-15.400707627100104,94.50230065234398,94.50230065234398,0.3,0.0,0.35570157566453886,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
275,-15.997239325984651,96.34187835468327,96.34187835468327,0.3,0.0,0.36963260491606303,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
280,-16.558297579146455,98.12240861177098,98.12240861177098,0.3,0.0,0.383066084856065,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
285,-17.085836864500706,99.8420730059403,99.8420730059403,0.6,0.024999999999999998,0.4209960999163604,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
290,-17.58171958800601,101.48592116197615,101.48592116197615,0.55,0.02083333333333334,0.4541621765884501,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
295,-18.047718723350442,103.03529680288088,103.03529680288088,0.5,0.016666666666666666,0.4824454736901574,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
300,-18.485520591844022,104.47864920589933,104.47864920589933,0.45,0.012500000000000002,0.5057742081191983,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
305,-18.896727744854957,105.8105376599875,105.8105376599875,0.3,0.0,0.5157837000825908,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
310,-19.28286191615632,107.03533818622897,107.03533818622897,0.3,0.0,0.5250077661989864,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
315,-19.64536701602134,108.16176018852094,108.16176018852094,0.3,0.0,0.5335088449150028,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
320,-19.985612142874658,109.19779734811735,109.19779734811735,0.3,0.0,0.5413443496562244,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
325,-20.30489459182749,110.15078698483141,110.15078698483141,0.3,0.0,0.5485670778654613,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
330,-20.604442842540692,111.0274644552005,111.0274644552005,0.3,0.0,0.5552255864007846,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
335,-20.885419511614373,111.8340130054266,111.8340130054266,0.3,0.0,0.5613645360853263,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
340,-21.148924257132705,112.57610946152728,112.57610946152728,0.3,0.0,0.5670250079672693,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
345,-21.395996625133762,113.25896610676259,113.25896610676259,0.3,0.0,0.5722447936345538,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
