,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
235,205.74842640840066,169.7668360049892,169.7668360049892,0.35,0.004166666666666666,0.7357655210746792,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
240,205.44568547877566,168.70819990519882,168.70819990519882,0.3,0.0,0.7306375254565552,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
245,205.15470968077216,167.69140882476486,167.69140882476486,0.3,0.0,0.7257053555228671,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
250,204.8755896415546,166.71639410818221,166.71639410818221,0.3,0.0,0.7209692174704216,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
255,204.6083189870536,165.7828347243393,165.7828347243393,0.3,0.0,0.7164281122506573,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
260,204.3528103068795,164.89019839862868,164.89019839862868,0.3,0.0,0.7120800221556275,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
265,204.10890905624197,164.03777769088055,164.03777769088055,0.3,0.0,0.7079220755472128,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
270,203.87640563825337,163.22472157786603,163.22472157786603,0.3,0.0,0.7039506920178855,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
275,203.65504588245835,162.4500630403548,162.4500630403548,0.3,0.0,0.7001617100456782,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
280,203.4445401109513,161.71274310198027,161.71274310198027,0.3,0.0,0.6965504990017959,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
285,203.2445709616772,161.01163171985058,161.01163171985058,0.3,0.0,0.6931120571845791,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
290,203.05480011916865,160.345545884399,160.345545884399,0.3,0.0,0.6898410973864234,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
295,202.87487408577977,159.71326524789444,159.71326524789444,0.3,0.0,0.6867321213491965,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
300,202.70442911120165,159.11354556688872,159.11354556688872,0.3,0.0,0.6837794843271344,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
305,202.54309538447478,158.5451302132626,158.5451302132626,0.3,0.0,0.6809774508528007,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
310,202.3905005806603,158.00675998108818,158.00675998108818,0.3,0.0,0.67832024269022,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
315,202.24627284362833,157.49718139192666,157.49718139192666,0.15,-0.012499999999999999,0.6633020798586408,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
320,202.11004327692103,157.0220382105091,157.0220382105091,0.3,0.0,0.6609631123952896,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
325,201.98144800621205,156.58338293612425,156.58338293612425,0.35,0.004166666666666666,0.6629861542642891,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
330,201.86012986940335,156.17609741124107,156.17609741124107,0.3,0.0,0.6610061467041715,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
335,201.7457397837603,155.7964862909788,155.7964862909788,0.3,0.0,0.6591674423591557,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
340,201.63793783359995,155.44268973528483,155.44268973528483,0.3,0.0,0.6574598856953341,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
345,201.53639411683014,155.11297049439483,155.11297049439483,0.3,0.0,0.6558740572913567,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
350,201.44078938401262,154.80570610958827,154.80570610958827,0.3,0.0,0.6544012199629144,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
355,201.35081549952653,154.5193815766395,154.5193815766395,0.15,-0.012499999999999999,0.6405332688732435,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
360,201.26617575078532,154.25946698000638,154.25946698000638,0.15,-0.012499999999999999,0.6268085822070089,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
365,201.18658502824695,154.0348012109181,154.0348012109181,0.15,-0.012499999999999999,0.6132879130374859,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
370,201.1117698961222,153.85268672538692,153.85268672538692,0.15,-0.012499999999999999,0.6000216886522539,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
375,201.04146857117394,153.71907611670315,153.71907611670315,0.15,-0.012499999999999999,0.5870512557404807,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
380,200.97543082478438,153.63873880718288,153.63873880718288,0.3,0.0,0.5869099933921719,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
385,200.91341782150832,153.60852530940033,153.60852530940033,0.3,0.0,0.5870784101739167,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
390,200.8552019056042,153.62110971281362,153.62110971281362,0.3,0.0,0.5875090962598694,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
395,200.80056634551033,153.67000703742036,153.67000703742036,0.3,0.0,0.5881601748434316,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
400,200.7493050448922,153.74948612228576,153.74948612228576,0.3,0.0,0.5889947239039451,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
405,200.70122222770573,153.85449104597265,153.85449104597265,0.3,0.0,0.5899802549371629,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
410,200.6561321036816,153.98057027176569,153.98057027176569,0.3,0.0,0.5910882432364275,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
415,200.61385851972392,154.12381278517918,154.12381278517918,0.3,0.0,0.5922937048137841,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
420,200.5742346019145,154.28079055904988,154.28079055904988,0.3,0.0,0.593574815506723,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
425,200.53710239211347,154.44850674315845,154.44850674315845,0.15,-0.012499999999999999,0.5824125682309845,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
430,200.5023124825303,154.63123356271254,154.63123356271254,0.3,0.0,0.5838363615924349,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
435,200.46972365110423,154.8299760340586,154.8299760340586,0.3,0.0,0.5853537605674473,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
440,200.43920250006212,155.04114488991962,155.04114488991962,0.3,0.0,0.586941651856584,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
445,200.4106230996161,155.26161412410903,155.26161412410903,0.3,0.0,0.5885799633028616,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
450,200.38386663840495,155.4886703154828,155.4886703154828,0.3,0.0,0.5902513284331595,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
455,200.35882108197808,155.71996707216638,155.71996707216638,0.3,0.0,0.5919407850580711,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
460,200.3353808403526,155.95348410190022,155.95348410190022,0.3,0.0,0.5936355046322427,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
465,200.31344644544407,156.18749046066029,156.18749046066029,0.3,0.0,0.5953245493871617,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
470,200.29292423897394,156.42051157376946,156.42051157376946,0.3,0.0,0.5969986545297247,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
475,200.2737260712861,156.65129966190278,156.65129966190278,0.3,0.0,0.5986500330553396,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
480,,156.89809788868303,156.89809788868303,0.3,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
