,pump_bgs,bg,carb,insulin,iob,cir,isf,sbr,temp_basal,relative_temp_basal_insulin
280,259.69267236834975,122.54211409007642,0.0,0.0,0.6729129722557703,20.0,150.0,0.3,0.3,0.0
285,259.72716512367754,121.7875499336173,0.0,0.0,0.6691181786096908,20.0,150.0,0.3,0.3,0.0
290,259.7577866027269,121.07512201903806,0.0,0.0,0.6655382716173506,20.0,150.0,0.3,0.3,0.0
295,259.7849712961578,120.40282210665235,0.0,0.0,0.6621625004075826,20.0,150.0,0.3,0.3,0.0
300,259.809104929799,119.76869824608906,0.0,0.0,0.6589805021884703,20.0,150.0,0.3,0.3,0.0
305,259.8305299377437,119.1708585115248,0.0,0.0,0.6559823061745484,20.0,150.0,0.3,0.3,0.0
310,259.8495503211742,118.60747376413235,0.0,0.0,0.653158334577181,20.0,150.0,0.3,0.3,0.0
315,259.8664359618601,118.07677957696721,0.0,0.0,0.6504994010922445,20.0,150.0,0.3,0.3,0.0
320,259.881426451532,117.57707744159646,0.0,0.0,0.6479967072692053,20.0,150.0,0.3,0.3,0.0
325,259.89473449146874,117.10673536160087,0.0,0.0,0.6456418371007999,20.0,150.0,0.3,0.3,0.0
330,259.9065489105326,116.66418792547029,0.0,0.0,0.6434267501323663,20.0,150.0,0.3,0.3,0.0
335,259.9170373444778,116.24793594019533,0.0,0.0,0.6413437733539327,20.0,150.0,0.3,0.3,0.0
340,259.9263486145478,115.85654569688884,0.0,0.0,0.6393855921060276,20.0,150.0,0.3,0.3,0.0
345,259.9346148391119,115.48864793091455,0.0,0.0,0.6375452402014883,20.0,150.0,0.3,0.3,0.0
350,259.9419533083034,115.14293653113843,0.0,0.0,0.6358160894399159,20.0,150.0,0.3,0.3,0.0
355,259.9484681482595,114.81816704594388,0.0,0.0,0.6341918386686063,20.0,150.0,0.3,0.3,0.0
360,259.9542517985747,114.51315502747202,0.0,0.0,0.6326665025234469,20.0,150.0,0.3,0.3,0.0
365,259.9593863239344,114.22677425007194,0.0,0.0,0.6312343999651787,20.0,150.0,0.3,0.3,0.0
370,259.96394457853705,113.95795483410406,0.0,0.0,0.6298901427103688,20.0,150.0,0.3,0.3,0.0
375,259.9679912398284,113.70568130195679,0.0,0.0,0.6286286236421721,20.0,150.0,0.3,0.3,0.0
380,259.97158372621504,113.46899058935746,0.0,0.0,0.627445005273336,20.0,150.0,0.3,0.3,0.0
385,259.9747730117789,113.24697003172349,0.0,0.0,0.6263347083227382,20.0,150.0,0.3,0.3,0.0
390,259.9776043495525,113.03875534236381,0.0,0.0,0.6252934004568711,20.0,150.0,0.3,0.3,0.0
395,259.9801179136182,112.843528596757,0.0,0.0,0.6243169852390098,20.0,150.0,0.3,0.3,0.0
400,259.98234936914105,112.6605162348644,0.0,0.0,0.6234015913211364,20.0,150.0,0.3,0.3,0.0
405,259.9843303784253,112.48898709144774,0.0,0.0,0.6225435619069973,20.0,150.0,0.3,0.3,0.0
410,259.9860890501729,112.32825046261911,0.0,0.0,0.6217394445087843,20.0,150.0,0.3,0.3,0.0
415,259.98765033832063,112.17765421533244,0.0,0.0,0.6209859810148062,20.0,150.0,0.3,0.3,0.0
420,259.9890363961131,112.03658294519903,0.0,0.0,0.6202800980810512,20.0,150.0,0.3,0.3,0.0
425,259.99026689043717,111.90445618686041,0.0,0.0,0.6196188978556649,20.0,150.0,0.3,0.3,0.0
430,259.9913592808771,111.78072668015113,0.0,0.0,0.618999649042026,20.0,150.0,0.3,0.3,0.0
435,259.99232906744965,111.6648786944241,0.0,0.0,0.6184197783032177,20.0,150.0,0.3,0.3,0.0
440,259.9931900105356,111.55642641266675,0.0,0.0,0.617876862008232,20.0,150.0,0.3,0.3,0.0
445,259.9939543261265,111.45491237640118,0.0,0.0,0.6173686183181432,20.0,150.0,0.3,0.3,0.0
450,259.9946328591585,111.35990599181642,0.0,0.0,0.6168928996087174,20.0,150.0,0.3,0.3,0.0
455,259.99523523739197,111.27100209712138,0.0,0.0,0.6164476852244383,20.0,150.0,0.3,0.3,0.0
460,259.9957700080208,111.18781959071745,0.0,0.0,0.6160310745576913,20.0,150.0,0.3,0.3,0.0
465,259.99624475894893,111.11000011946341,0.0,0.0,0.6156412804458498,20.0,150.0,0.3,0.3,0.0
470,259.99666622645606,111.03720682603651,0.0,0.0,0.6152766228781721,20.0,150.0,0.3,0.3,0.0
475,259.9970403907788,110.96912315417136,0.0,0.0,0.6149355230037972,20.0,150.0,0.3,0.3,0.0
480,,110.91235902711207,0.0,0.0,0.6138269527220634,20.0,150.0,0.3,0.3,0.0
485,,110.86652942451693,0.0,0.0,0.6127912792700907,20.0,150.0,0.3,0.3,0.0
490,,110.82863726436523,,,0.6120390935014968,,,,,
